trv_loc_nm,yw,bubble_cnt
광주광역시,202001,4
대전광역시,202001,4
울산광역시,202001,3
세종특별자치시,202001,1
경기도,202001,20
강원도,202001,23
충청북도,202001,7
충청남도,202001,11
전라북도,202001,8
전라남도,202001,11
경상북도,202001,16
경상남도,202001,13
제주특별자치도,202001,6
서울특별시,202002,15
부산광역시,202002,8
대구광역시,202002,5
인천광역시,202002,12
광주광역시,202002,3
대전광역시,202002,4
울산광역시,202002,2
세종특별자치시,202002,1
경기도,202002,17
강원도,202002,17
충청북도,202002,6
충청남도,202002,9
전라북도,202002,7
전라남도,202002,8
경상북도,202002,11
경상남도,202002,9
제주특별자치도,202002,5
서울특별시,202003,15
부산광역시,202003,8
대구광역시,202003,5
인천광역시,202003,12
광주광역시,202003,3
대전광역시,202003,4
울산광역시,202003,2
세종특별자치시,202003,1
경기도,202003,17
강원도,202003,17
충청북도,202003,6
충청남도,202003,9
전라북도,202003,7
전라남도,202003,8
경상북도,202003,11
경상남도,202003,9
제주특별자치도,202003,6
서울특별시,202004,15
부산광역시,202004,14
대구광역시,202004,11
인천광역시,202004,15
광주광역시,202004,7
대전광역시,202004,7
울산광역시,202004,4
세종특별자치시,202004,2
경기도,202004,28
강원도,202004,25
충청북도,202004,14
충청남도,202004,20
전라북도,202004,17
전라남도,202004,22
경상북도,202004,29
경상남도,202004,24
제주특별자치도,202004,5
서울특별시,202005,11
부산광역시,202005,8
대구광역시,202005,5
인천광역시,202005,10
광주광역시,202005,4
대전광역시,202005,4
울산광역시,202005,2
세종특별자치시,202005,1
경기도,202005,16
강원도,202005,17
충청북도,202005,6
충청남도,202005,8
전라북도,202005,7
전라남도,202005,10
경상북도,202005,12
경상남도,202005,11
제주특별자치도,202005,4
서울특별시,202006,9
부산광역시,202006,6
대구광역시,202006,4
인천광역시,202006,7
광주광역시,202006,2
대전광역시,202006,3
울산광역시,202006,2
세종특별자치시,202006,1
경기도,202006,12
강원도,202006,12
충청북도,202006,5
충청남도,202006,6
전라북도,202006,5
전라남도,202006,6
경상북도,202006,9
경상남도,202006,8
제주특별자치도,202006,3
서울특별시,202007,10
부산광역시,202007,7
대구광역시,202007,4
인천광역시,202007,7
광주광역시,202007,2
대전광역시,202007,4
울산광역시,202007,2
세종특별자치시,202007,1
경기도,202007,14
강원도,202007,13
충청북도,202007,5
충청남도,202007,7
전라북도,202007,5
전라남도,202007,7
경상북도,202007,10
경상남도,202007,9
제주특별자치도,202007,3
서울특별시,202008,9
부산광역시,202008,5
대구광역시,202008,2
인천광역시,202008,6
광주광역시,202008,2
대전광역시,202008,3
울산광역시,202008,1
세종특별자치시,202008,1
경기도,202008,13
강원도,202008,12
충청북도,202008,5
충청남도,202008,6
전라북도,202008,5
전라남도,202008,6
경상북도,202008,6
경상남도,202008,7
제주특별자치도,202008,4
서울특별시,202009,5
부산광역시,202009,2
대구광역시,202009,1
인천광역시,202009,5
광주광역시,202009,2
대전광역시,202009,2
울산광역시,202009,1
세종특별자치시,202009,1
경기도,202009,10
강원도,202009,8
충청북도,202009,4
충청남도,202009,5
전라북도,202009,3
전라남도,202009,5
경상북도,202009,4
경상남도,202009,4
제주특별자치도,202009,2
서울특별시,202010,5
부산광역시,202010,2
대구광역시,202010,1
인천광역시,202010,4
광주광역시,202010,2
대전광역시,202010,2
울산광역시,202010,1
세종특별자치시,202010,1
경기도,202010,11
강원도,202010,8
충청북도,202010,4
충청남도,202010,5
전라북도,202010,3
전라남도,202010,5
경상북도,202010,4
경상남도,202010,5
제주특별자치도,202010,2
서울특별시,202011,5
부산광역시,202011,3
대구광역시,202011,1
인천광역시,202011,3
광주광역시,202011,2
대전광역시,202011,2
울산광역시,202011,1
세종특별자치시,202011,1
경기도,202011,12
강원도,202011,9
충청북도,202011,4
충청남도,202011,6
전라북도,202011,4
전라남도,202011,6
경상북도,202011,5
경상남도,202011,6
제주특별자치도,202011,2
서울특별시,202012,6
부산광역시,202012,3
대구광역시,202012,1
인천광역시,202012,4
광주광역시,202012,2
대전광역시,202012,2
울산광역시,202012,1
세종특별자치시,202012,1
경기도,202012,13
강원도,202012,10
충청북도,202012,5
충청남도,202012,7
전라북도,202012,5
전라남도,202012,7
경상북도,202012,6
경상남도,202012,7
제주특별자치도,202012,2
서울특별시,202013,6
부산광역시,202013,3
대구광역시,202013,1
인천광역시,202013,4
광주광역시,202013,2
대전광역시,202013,2
울산광역시,202013,1
세종특별자치시,202013,1
경기도,202013,14
